whsturn:whsturn - rdf:about,whsturn:whsturn - dc:type,whsturn:whsturn - dc:title,whsturn:whsturn - rdfs:seeAlso - rdf:resource,whsturn:whsturn - collex:genre,whsturn:whsturn - collex:archive,whsturn:whsturn - collex:federation,whsturn:whsturn - collex:discipline,whsturn:whsturn - role:PBL,whsturn:whsturn - dc:date,whsturn:whsturn - dc:date - collex:date - rdf:value,whsturn:whsturn - dc:date - collex:date - rdfs:label,whsturn:whsturn - role:CRE,whsturn:whsturn - dc:language,whsturn:whsturn - dc:subject
http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28705,Manuscript,6,http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28705,Unspecified,turningpoints-whs,GLA,History,Wisconsin Historical Society,,1927,1927?,"Shepard, Daniel D.",Potawatomi,
,,,,,,,,,1929,,,,,
,,,,,,,,,1933,,,,,
http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28706,Manuscript,7,http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28706,Unspecified,turningpoints-whs,GLA,History,Wisconsin Historical Society,,1927,1927?,"Shepard, Daniel D.",Potawatomi,
,,,,,,,,,1929,,,,,
,,,,,,,,,1933,,,,,
http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28707,Manuscript,8,http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28707,Unspecified,turningpoints-whs,GLA,History,Wisconsin Historical Society,,1927,1927?,"Shepard, Daniel D.",Potawatomi,
,,,,,,,,,1929,,,,,
,,,,,,,,,1933,,,,,
http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28708,Manuscript,9,http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28708,Unspecified,turningpoints-whs,GLA,History,Wisconsin Historical Society,,1927,1927?,"Shepard, Daniel D.",Potawatomi,
,,,,,,,,,1929,,,,,
,,,,,,,,,1933,,,,,
http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28709,Manuscript,10,http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28709,Unspecified,turningpoints-whs,GLA,History,Wisconsin Historical Society,,1927,1927?,"Shepard, Daniel D.",Potawatomi,
,,,,,,,,,1929,,,,,
,,,,,,,,,1933,,,,,
http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28710,Manuscript,11,http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28710,Unspecified,turningpoints-whs,GLA,History,Wisconsin Historical Society,,1927,1927?,"Shepard, Daniel D.",Potawatomi,
,,,,,,,,,1929,,,,,
,,,,,,,,,1933,,,,,
http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28711,Manuscript,,http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28711,Unspecified,turningpoints-whs,GLA,History,Wisconsin Historical Society,,1927,1927?,"Shepard, Daniel D.",Potawatomi,
,,,,,,,,,1929,,,,,
,,,,,,,,,1933,,,,,
http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28712,Manuscript,,http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28712,Unspecified,turningpoints-whs,GLA,History,Wisconsin Historical Society,,1927,1927?,"Shepard, Daniel D.",Potawatomi,
,,,,,,,,,1929,,,,,
,,,,,,,,,1933,,,,,
http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28713,Manuscript,,http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28713,Unspecified,turningpoints-whs,GLA,History,Wisconsin Historical Society,,1927,1927?,"Shepard, Daniel D.",Potawatomi,
,,,,,,,,,1929,,,,,
,,,,,,,,,1933,,,,,
http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28714,Manuscript,,http://cdm15932.contentdm.oclc.org:80/cdm/ref/collection/tp/id/28714,Unspecified,turningpoints-whs,GLA,History,Wisconsin Historical Society,,1927,1927?,"Shepard, Daniel D.",Potawatomi,
,,,,,,,,,1929,,,,,
,,,,,,,,,1933,,,,,
