dc:title 1,dc:identifier 1,dc:identifier 2,dc:publisher 1,dc:publisher 2,identifier 1,dc:date 1,dc:type 1,dc:creator 1,dc:creator 2,dc:creator 3,dc:creator 4,dc:creator 5,dc:creator 6,dc:creator 7,collex:genre 1,dc:description 1,dc:description 2,dc:description 3,dc:description 4,dc:description 5,dc:description 6,dc:source 1,collex:discipline 1,dc:subject 1,dc:subject 2,dc:subject 3,dc:subject 4,dc:subject 5,dc:subject 6,dc:subject 7,dc:language 1
"Phytoplankton of the seasonal surveys of 1977, and further pre- vs. post-operational comparisons at Cook Nuclear Plant / John C. Ayers, Susan J. Wiley.",(dlps) 4742360.0001.001,http://name.umdl.umich.edu/4742360.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4742360.0001.001,1979,text,"Ayers, John C. (John Carr), 1912-","Wiley, Susan J.",University of Michigan. Great Lakes Research Division.,,,,,,"x, 92 p. ;  28 cm. +",Cover title.,March 1979.,"Under contract with: American Electric Power Service Corporation, Indiana and Michigan Electric Company.",Includes bibliographical references (91-92).,,The University of Michigan Great Lakes Digital Library,,"Nuclear power plants -- Environmental aspects -- Michigan, Lake.","Freshwater phytoplankton -- Michigan, Lake.",Donald C. Cook Nuclear Power Plant -- Environmental aspects.,,,,,eng
"Spatial and temporal distribution of benthic macroinvertebrates and sediments collected in the vicinity of the J.H. Campbell Plant, Eastern Lake Michigan, 1980 / Michael H. Winnell and David J. Jude.",(dlps) 4739889.0001.001,http://name.umdl.umich.edu/4739889.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4739889.0001.001,1981,text,"Winnell, Michael H.","Jude, David J. (David John), 1944-",University of Michigan. Great Lakes Research Division.,,,,,,"v, 110 p. : ill. ; 28 cm.",Includes bibliographical references (p. 89-92).,,,,,The University of Michigan Great Lakes Digital Library,,"Freshwater invertebrates -- Michigan, Lake.","Lake sediments -- Michigan, Lake.","Lake ecology -- Michigan, Lake.","Benthos -- Michigan, Lake.","Thermal pollution of rivers, lakes, etc. -- Environmental aspects -- Michigan, Lake.","Power-plants -- Environmental aspects -- Michigan, Lake.",,eng
"Phytoplankton species composition, abundance and distribution in southern Lake Huron 1980 : including a comparative analysis with conditions in 1974 prior to nutrient loading reductions / by Russell G. Kreis, Jr., Eugene F. Stoermer and Theodore B. Ladewski, Great Lakes Research Division, the University of Michigan, Ann Arbor ...",(dlps) 4740134.0001.001,http://name.umdl.umich.edu/4740134.0001.001,"Ann Arbor :: Great Lakes Research Division, the University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4740134.0001.001,1985,text,"Kreis, Russell G.","Stoermer, Eugene F., 1934-","Ladewski, Theodore B.","Swain, Wayland R.",University of Michigan. Great Lakes Research Division.,,,,"xiii, 377 p. : ill., maps ; 28 cm.",Cover title.,References: p. 347-355.,,,,The University of Michigan Great Lakes Digital Library,,"Phytoplankton -- Huron, Lake (Mich. and Ont.)",,,,,,,eng
"Entrainment of phytoplankton at the Donald C. Cook Nuclear Plant, 1977 / Ronald Rossmann ... [et al.].",(dlps) 4739007.0001.001,http://name.umdl.umich.edu/4739007.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4739007.0001.001,1980,text,"Rossmann, Ronald.",University of Michigan. Great Lakes Research Division.,,,,,,,180 p. ;  28 cm.,Includes appendix on microfilm in pocket in back of book.,Includes bibliographical references (p. 176-180).,,,,The University of Michigan Great Lakes Digital Library,,Phytoplankton.,Nuclear reactors.,,,,,,eng
"Atmospheric inputs of phosphorus to southern Lake Huron, April-October 1975 / by Richard G. Delumyea and Resy L. Petel.",(dlps) 3181885.0001.001,http://name.umdl.umich.edu/3181885.0001.001,"Duluth, Minn. :, Springfield, Va. :: Environmental Protection Agency, Office of Research and Development, Environmental Research Laboratory ;, [for sale by the] National Technical Information Service,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:3181885.0001.001,1977,text,"Delumyea, Richard G.","Petel, Resy L., jt. auth.","Environmental Research Laboratory (Duluth, Minn.)",University of Michigan. Great Lakes Research Division.,,,,Unspecified,"viii, 54 p. : ill. ; 28 cm.","Prepared by Great Lakes Research Division, the University of Michigan, Ann Arbor, Mich., under grant no. R803086.",Issued April 1977.,Includes appendix.,Bibliography: p. 49-50.,,The University of Michigan Great Lakes Digital Library,Science,Phosphorus.,Precipitation (Chemistry).,,,,,,eng
"Nutrient cycling in the Great Lakes : a summarization of factors regulating the cycling of phosphorus / Donald Scavia and Russell Moll, editors.",(dlps) 4739877.0001.001,http://name.umdl.umich.edu/4739877.0001.001,"[Ann Arbor, Mich.?] :: University of Michigan, Great Lakes Environmental Research Laboratory, Cooperative Program in Great Lakes Longterm Effects Research,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4739877.0001.001,1980,text,"Scavia, Donald, editor.","Moll, Russell A., editor.",Great Lakes Environmental Research Laboratory.,University of Michigan. Great Lakes Research Division.,,,,,"vi, 140 p. : ill. ; 28 cm.","December, 1980.",Includes bibliographical references.,,,,The University of Michigan Great Lakes Digital Library,,Mineral cycle (Biogeochemistry) -- Great Lakes.,Phosphorus -- Environmental aspects -- Great Lakes.,Water quality -- Great Lakes.,Mineral cycle (Biogeochemistry),,,,eng
"Spatial and temporal distribution of benthic macroinvertebrates and sediments collected in the vicinity of the J.H. Campbell Plant, Eastern Lake Michigan, 1978 / by Michael H. Winnell, David J. Jude.",(dlps) 4739125.0001.001,http://name.umdl.umich.edu/4739125.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4739125.0001.001,1979,text,"Winnell, Michael H.","Jude, David J. (David John), 1944-",University of Michigan. Great Lakes Research Division.,,,,,,"v, 199 p. : ill. ; 28 cm.",Under contract with Consumers Power Company.,Project Director: David J. Jude.,Bibliography: p. 79-82.,,,The University of Michigan Great Lakes Digital Library,,"Lake ecology -- Michigan, Lake.","Freshwater invertebrates -- Michigan, Lake.","Lake sediments -- Michigan, Lake.","Benthos -- Michigan, Lake.","Thermal pollution of rivers, lakes, etc. -- Environmental aspects -- Michigan, Lake.","Power-plants -- Environmental aspects -- Michigan, Lake.",,eng
"Studies of local winds and alongshore currents : December, 1967 / by John C. Ayers ... [et al.].",(dlps) 4740491.0001.001,http://name.umdl.umich.edu/4740491.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4740491.0001.001,1967,text,"Ayers, John C. (John Carr), 1912-",University of Michigan. Great Lakes Research Division.,,,,,,,1xx p. ;  28 cm.,Cover title.,"Under contract with: American Electric Power Service Corp., Indiana & Michigan Electric Company.",,,,The University of Michigan Great Lakes Digital Library,,"Nuclear power plants -- Environmental aspects -- Michigan, Lake.","Freshwater phytoplankton -- Michigan, Lake.","Freshwater animals -- Michigan, Lake.",Donald C. Cook Nuclear Power Plant -- Environmental aspects.,,,,eng
"Water chemistry and phytoplankton field and laboratory procedures / Curtiss O. Davis and Mila S. Simmons, editors.",(dlps) 4739018.0001.001,http://name.umdl.umich.edu/4739018.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4739018.0001.001,1979,text,"Davis, Curtiss O.","Simmons, Mila S.",University of Michigan. Great Lakes Research Division.,,,,,,[100] p. : ill. ; 28 cm.,This work was supported by the U.S. Department of Energy (C00-2003-30),,,,,The University of Michigan Great Lakes Digital Library,,Phytoplankton -- Field work.,Water chemistry -- Field work.,,,,,,eng
"Drift of zooplankton, benthos, and larval fish and distribution of macrophytes and larval fish in the St. Marys River, Michigan, during winter and summer, 1985 / David J. Jude, M. Winnell, M.S. Evans, F.J. Tesar, and R. Futyma.",(dlps) 4740237.0001.001,http://name.umdl.umich.edu/4740237.0001.001,"Ann Arbor, Mich. :: The University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4740237.0001.001,1986,text,"Jude, David J. (David John), 1944-","Winnell, Michael H.","Evans, Marlene S.","Tesar, Frank J.","Futyma, Richard Paul.",University of Michigan. Great Lakes Research Division.,United States. Army.,,"iv, 504 p. : ill. ; 28 cm.",Cover title.,Report date January 1986.,"Prepared under Contract DACW 35-85-C-0005 for U.S. Army Corps of Engineers, Detroit District, Detroit, Michigan 48321.",Includes bibliographic references (p. 168-173).,"Microfiche. Alexandria, Va. : Defense Technical Information Center, 1988. 6 microfiche",The University of Michigan Great Lakes Digital Library,,Zooplankton -- Saint Marys River (Mich. and Ont.),Benthos -- Saint Marys River (Mich. and Ont.),Fishes -- Larvae.,Biotic communities -- Saint Marys River (Mich. and Ont.),Saint Marys River (Mich. and Ont.),,,eng
Research Ships of Opportunity Program : Project Neptune Limnos / submited by Andrew Robertson.,(dlps) 4737716.0001.001,http://name.umdl.umich.edu/4737716.0001.001,"Ann Arbor, Mich. :: University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4737716.0001.001,1967,text,"Robertson, Andrew, 1936-",Project Neptune Limnos.,University of Michigan. Great Lakes Research Division.,,,,,,"v, 25 p. : ill. ; 28 cm.",Cover title.,Includes bibliographical references.,,,,The University of Michigan Great Lakes Digital Library,,Oceanographic research ships.,,,,,,,eng
"Adult, juvenile and larval fish populations in the vicinity of the J.H. Campbell Power Plant, eastern Lake Michigan, 1979 / David J. Jude ... [et al.].",(dlps) 4739151.0001.001,http://name.umdl.umich.edu/4739151.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, The University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4739151.0001.001,1980,text,"Jude, David J. (David John), 1944-",Consumers Power Company.,University of Michigan. Great Lakes Research Division.,,,,,,"v, 607 p. : ill. ; 28 cm.","December, 1980.","Under contract with Consumers Power Company, David J. Jude, project director.",Includes bibliographical references (p. 410-419).,,,The University of Michigan Great Lakes Digital Library,,"Fish populations -- Michigan, Lake.",Hydroelectric power plants -- Environmental aspects -- Michigan.,Fishes -- Effect of water pollution on.,"Michigan, Lake.",J.H. Campbell Power Plant (Mich.),,,eng
"The biological, chemical, and physical character of Lake Michigan in the vicinity of the Donald C. Cook Nuclear Plant / Erwin Seibel and John C. Ayers.",(dlps) 4738427.0001.001,http://name.umdl.umich.edu/4738427.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4738427.0001.001,1974,text,"Seibel, Erwin., 1942-","Ayers, John C. (John Carr), 1912-",University of Michigan. Great Lakes Research Division.,,,,,,475 p. : ill. ; 28 cm.,Includes bibliographies.,,,,,The University of Michigan Great Lakes Digital Library,,"Hydrology -- Michigan, Lake.",Nuclear power plants -- Michigan.,Donald C. Cook Nuclear Plant.,,,,,eng
"Adult and juvenile fish populations near the D.C. Cook Nuclear Power Plant Southeastern Lake Michigan, during preoperational (1973-74) and operational (1975-79) years / F.J. Tesar ...[et al.].",(dlps) 4740141.0001.001,http://name.umdl.umich.edu/4740141.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, The University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4740141.0001.001,1985,text,"Tesar, Frank J.",American Electric Power Service Corporation.,Indiana and Michigan Electric Company.,University of Michigan. Great Lakes Research Division.,,,,,"xxvi, 341 p. : ill. ; 28 cm. +",Cover title.,"Under contract with American Electric Power Service Corporation, Indiana & Michigan Electric Company.",,,,The University of Michigan Great Lakes Digital Library,,"Fish populations -- Michigan, Lake.",Donald C. Cook Nuclear Power Plant -- Environmental aspects.,,,,,,eng
Sources of hydrographic and meteorological data on the Great Lakes / by Charles F. Powers and David L. Jones and John C. Ayers.,(dlps) 4361486.0001.001,http://name.umdl.umich.edu/4361486.0001.001,"Ann Arbor, Mich. :: Institute of Science and Technology, the University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4361486.0001.001,1959,text,"Powers, Charles F.","Jones, David L.","Ayers, John C. (John Carr), 1912-",U.S. Fish and Wildlife Service.,University of Michigan. Great Lakes Research Division.,,,,"183 p. : ill., charts, maps ; 27 cm.",Cover title.,Bibliography: p. 139-159.,,,,The University of Michigan Great Lakes Digital Library,,Meteorology -- Great Lakes.,Hydrography -- Great Lakes.,,,,,,eng
"Project Submich : a report and appraisal of the use of a research submarine in the Great Lakes / by the Great Lakes Research Division, the University of Michigan.",(dlps) 4737907.0001.001,http://name.umdl.umich.edu/4737907.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4737907.0001.001,1968,text,University of Michigan. Great Lakes Research Division.,University of Michigan. Great Lakes Research Division.,,,,,,,"iii, 33 p. : ill. ; 28 cm.",,,,,,The University of Michigan Great Lakes Digital Library,,Submarines (Ships) -- Michigan.,Great Lakes -- Research.,,,,,,eng
"Green Bay phytoplankton composition, abundance, and distribution / by E. F. Stoermer and R.J. Stevenson.",(dlps) 4739844.0001.001,http://name.umdl.umich.edu/4739844.0001.001,"[Ann Arbor, Mich.? :: s.n.,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4739844.0001.001,1979,text,"Stoermer, Eugene F., 1934-","Stevenson, R. Jan.",University of Michigan. Great Lakes Research Division.,,,,,,1xx p. ;  28 cm.,Cover title.,,,,,The University of Michigan Great Lakes Digital Library,,"Phytoplankton -- Michigan, Lake.",,,,,,,eng
"The phytoplankton of the Cook Plant monthly minimal surveys during the preoperational years 1972, 1973, and 1974 / by John C. Ayers.",(dlps) 4738918.0001.001,http://name.umdl.umich.edu/4738918.0001.001,"Ann Arbor, Mich. :: University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4738918.0001.001,1975,text,"Ayers, John C. (John Carr), 1912-",University of Michigan. Great Lakes Research Division.,,,,,,,51 p. ;  28 cm.,,,,,,The University of Michigan Great Lakes Digital Library,,"Phytoplankton -- Michigan, Lake.",,,,,,,eng
"The Physical, chemical, and biological nature of Pigeon Lake, a Lake Michigan coastal lake / by David J. Jude ... [et al.].",(dlps) 4739141.0001.001,http://name.umdl.umich.edu/4739141.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, The University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4739141.0001.001,1981,text,"Jude, David J. (David John), 1944-",University of Michigan. Great Lakes Research Division.,,,,,,,"vii, 109 p. : ill., maps ; 28 cm.",April 1981.,One folded bathymetric map in pocket.,Includes bibliographical references (p. 103-108).,,,The University of Michigan Great Lakes Digital Library,,Limnology -- Michigan.,Pigeon Lake (Mich.),,,,,,eng
"Currents and related problems at Metropolitan Beach, Lake St. Clair / John C. Ayers.",(dlps) 4739065.0001.001,http://name.umdl.umich.edu/4739065.0001.001,"Ann Arbor, Mich. :: Institute of Science and Technology, the University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4739065.0001.001,1964,text,"Ayers, John C. (John Carr), 1912-",University of Michigan. Great Lakes Research Division.,,,,,,,"ii, 55 p. : ill. ; 28 cm.",,,,,,The University of Michigan Great Lakes Digital Library,,"Saint Clair, Lake.","Lakes -- Circulation -- Saint Clair, Lake.",,,,,,eng
Continuous seismic profiles along the proposed water intake tunnel route-City of Detroit Lake Huron Water Supply Project / by William F. MacLean.,(dlps) 4735170.0001.001,http://name.umdl.umich.edu/4735170.0001.001,"Ann Arbor, Mich. :: University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4735170.0001.001,1962,text,"MacLean, William F.",Detroit (Mich.). Dept. of Water Supply.,University of Michigan. Great Lakes Research Division.,,,,,,1xx p. ;  28 cm.,Cover title.,,,,,The University of Michigan Great Lakes Digital Library,,"Vertical seismic profiling -- Huron, Lake (Mich. and Ont.)",Groundwater flow -- Michigan.,Water supply -- Michigan,,,,,eng
"Field distribution and entrainment of fish larvae and eggs at the Donald C. Cook Nuclear Power Plant, southeastern Lake Michigan, 1980-1982 / Laura S. Noguchi ... [et al.].",(dlps) 4740444.0001.001,http://name.umdl.umich.edu/4740444.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, The University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4740444.0001.001,1985,text,"Noguchi, Laura S.",University of Michigan. Great Lakes Research Division.,,,,,,,1xx p. ;  28 cm.,Cover title.,,,,,The University of Michigan Great Lakes Digital Library,,Fishes -- Larvae.,Donald C. Cook Nuclear Power Plant.,,,,,,eng
Studies on water movements and sediments in Southern Lake Michigan : part 1[-3] ... / by John C. Ayers.,(dlps) 4737717.0001.001,http://name.umdl.umich.edu/4737717.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4737717.0001.001,1963,text,"Ayers, John C. (John Carr), 1912-","Hough, Jack Luin, 1909-",University of Michigan. Great Lakes Research Division.,,,,,,3 v. ;  28 cm.,Cover title.,Pt. 2 also authored by Jack L. Hough; pt. 3 by Frank R. Bellaire.,"Pt. 1: November 30, 1963; pt. 2: January 1964; pt. 3: July 1964.","pt. 1. Water-volume transports across the midlake sill, and current structure over the sill -- pt. 2. The surficial bottom sediments in 1962-1963 -- pt. 3. Current studies and supplemental sediment studies.",,The University of Michigan Great Lakes Digital Library,,"Sediment transport -- Michigan, Lake.",,,,,,,eng
"Winter operations, 1972-1973 / John C. Ayers, William L. Yocum, Erwin Seibel.",(dlps) 4742307.0001.001,http://name.umdl.umich.edu/4742307.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4742307.0001.001,1973,text,"Ayers, John C. (John Carr), 1912-","Yocum, William L.","Seibel, Erwin.",University of Michigan. Great Lakes Research Division.,,,,,22 p. : ill. ; 28 cm.,Cover title.,"Under contract with: American Electric Power Service Corporation, Indiana and Michigan Electric Company.",,,,The University of Michigan Great Lakes Digital Library,,"Thermal pollution of rivers, lakes, etc. -- Michigan, Lake.","Ice on rivers, lakes, etc. -- Michigan, Lake.","Michigan, Lake -- Environmental aspects.",Donald C. Cook Nuclear Power Plant -- Environmental aspects.,,,,eng
Relationships between conductivity and residues on evaporation for two Great Lakes waters / by Douglas R. McLain.,(dlps) 4739086.0001.001,http://name.umdl.umich.edu/4739086.0001.001,"Ann Arbor, Mich. :: University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4739086.0001.001,1963,text,"McLain, Douglas Robert.",University of Michigan. Great Lakes Research Division.,,,,,,,1xx p. ;  28 cm.,Cover title.,Series stamped on cover.,,,,The University of Michigan Great Lakes Digital Library,,"Evaporation (Meteorology) -- Michigan, Lake.","Evaporation (Meteorology) -- Huron, Lake.",,,,,,eng
Characteristics of benthic algal communities in the upper Great Lakes / by E.F. Stoermer.,(dlps) 4739891.0001.001,http://name.umdl.umich.edu/4739891.0001.001,"[Ann Arbor, Mich.? :: s.n.],","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4739891.0001.001,1980,text,"Stoermer, Eugene F., 1934-",University of Michigan. Great Lakes Research Division.,,,,,,,1xx p. ;  28 cm.,Cover title.,,,,,The University of Michigan Great Lakes Digital Library,,Marine algae -- Great Lakes.,Benthic plants -- Great Lakes.,,,,,,eng
"Phytoplankton of the seasonal surveys of 1974 and 1975 and initial pre- vs. post-operational comparisons at Cook Nuclear Plant / John C. Ayers, Nancy V. Southwick, Donald G. Robinson.",(dlps) 4742337.0001.001,http://name.umdl.umich.edu/4742337.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4742337.0001.001,1977,text,"Ayers, John C. (John Carr), 1912-","Southwick, Nancy V.","Robinson, Donald G.",University of Michigan. Great Lakes Research Division.,,,,,"vii, 279 p. ;  28 cm.",Cover title.,"Under contract with: American Electric Power Service Corporation, Indiana and Michigan Electric Company.",June 1977.,,,The University of Michigan Great Lakes Digital Library,,"Nuclear power plants -- Environmental aspects -- Michigan, Lake.","Freshwater phytoplankton -- Michigan, Lake.",Donald C. Cook Nuclear Power Plant -- Environmental aspects.,,,,,eng
The Great Lakes and Michigan.,(dlps) 4360701.0001.001,http://name.umdl.umich.edu/4360701.0001.001,"[Ann Arbor, Mich. :: s.n.,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4360701.0001.001,1955,text,University of Michigan. Great Lakes Research Division.,Conference on Great Lakes Research,,,,,,Unspecified,39 p. ;  27 cm.,"Constitutes the Proceedings of a meeting, later referred to as the 2nd Conference on Great Lakes Research.",Cover title.,Includes bibliographical references.,,,The University of Michigan Great Lakes Digital Library,Science,Water quality -- Great Lakes.,Water -- Pollution -- Great Lakes.,Environmental quality -- Great Lakes Region.,Transportation -- Great Lakes.,Great Lakes.,,,eng
"Big Rock Nuclear Power Plant hydrological survey / John C. Ayers, Vincent E. Noble, Charles F. Powers, William E. French.",(dlps) 4361493.0001.001,http://name.umdl.umich.edu/4361493.0001.001,"Ann Arbor, Mich. :: Institute of Science and Technology, the University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4361493.0001.001,1961,text,"Ayers, John C. (John Carr), 1912-","Nobel, Vincent E.","Powers, Charles F.","French, William Edwin, 1936-",University of Michigan. Great Lakes Research Division.,,,Unspecified,"vii, 39 p. : ill. ; 28 cm.",Cover title.,,,,,The University of Michigan Great Lakes Digital Library,Science,Hydrology -- Michigan,Big Rock Point Nuclear Plant (Mich.),,,,,,eng
"Entrainment of phytoplankton at the Donald C. Cook Nuclear Plant, 1975 / Ronald Rossman, Nancy M. Miller, Donald G. Robinson.",(dlps) 4742342.0001.001,http://name.umdl.umich.edu/4742342.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4742342.0001.001,1977,text,"Rossman, Ronald.","Robinson, Donald G.","Miller, Nancy M.",University of Michigan. Great Lakes Research Division.,,,,,"xiii, 265 p. ;  28 cm.",Cover title.,"Under contract with: American Electric Power Service Corporation, Indiana and Michigan Electric Company.",November 1977.,,,The University of Michigan Great Lakes Digital Library,,"Nuclear power plants -- Environmental aspects -- Michigan, Lake.","Freshwater phytoplankton -- Michigan, Lake.",Donald C. Cook Nuclear Power Plant -- Environmental aspects.,,,,,eng
"Growth of ice on Lake Michigan / John A. Heap, Vincent E. Noble.",(dlps) 4736758.0001.001,http://name.umdl.umich.edu/4736758.0001.001,"Ann Arbor, Mich. :: University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4736758.0001.001,1966,text,"Heap, John A.","Noble, Vincent E.",University of Michigan. Great Lakes Research Division.,,,,,Unspecified,94 p. : ill. ; 28 cm.,Includes bibliographical references.,,,,,The University of Michigan Great Lakes Digital Library,Science,"Ice on rivers, lakes, etc. -- Michigan, Lake.",,,,,,,eng
Interactive data base management system for ecological studies related to the Donald C. Cook Nuclear Power Plant / by William Y.B. Chang and Maryam S. Shahraray.,(dlps) 4740215.0001.001,http://name.umdl.umich.edu/4740215.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, Great Lakes and Marine Waters Center, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4740215.0001.001,1986,text,"Chang, William Y. B.","Shahraray, Maryam S.",University of Michigan. Great Lakes Research Division.,,,,,,"vii, 158 p. ;  28 cm.",Cover title.,"Under contract with American Electric Power Service Corporation, Indiana & Michigan Electric Company.",Bibliography: p. 157-158.,,,The University of Michigan Great Lakes Digital Library,,Information storage and retrieval systems -- Ecology.,"Nuclear power plants -- Environmental aspects -- Michigan, Lake.",Donald C. Cook Nuclear Power Plant -- Environmental aspects.,,,,,eng
"Physical and chemical environment of the Gambia River, West Africa, 1983-1984 / by Thomas D. Berry, Russell A. Moll, Gerald L. Krausse.",(dlps) 2442362.0001.001,http://name.umdl.umich.edu/2442362.0001.001,"Ann Arbor, Mich. :: Great Lakes and Marine Waters Center, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:2442362.0001.001,1985,text,"Berry, Thomas D.",,,,,,,Unspecified,"vii, 194 p. : ill. ; 28 cm.",,,,,,The University of Michigan Great Lakes Digital Library,Science,Stream ecology -- Gambia River.,Water -- Analysis.,,,,,,eng
Winter temperature structure of Lake Michigan / [by] Vincent E. Noble [and] Karen J. Ewing.,(dlps) 4738083.0001.001,http://name.umdl.umich.edu/4738083.0001.001,"Ann Arbor, Mich. :: University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4738083.0001.001,1968,text,"Noble, Vincent E.","Ewing, Karen J., author.",University of Michigan. Great Lakes Research Division.,,,,,,"iii, 63 p. : ill., tables ; 28 cm.","Final report on research supported by the Atmospheric Sciences Section, National Science Foundation, NSF Grant GA-524.",Includes bibliographical references.,,,,The University of Michigan Great Lakes Digital Library,,Water temperature.,"Michigan, Lake.",,,,,,eng
"The seasonal biological surveys of 1971 / John C. Ayers, Samuel C. Mozley, John A. Stewart.",(dlps) 4742320.0001.001,http://name.umdl.umich.edu/4742320.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4742320.0001.001,1974,text,"Ayers, John C. (John Carr), 1912-","Mozley, Samuel C.","Stewart, John A.",University of Michigan. Great Lakes Research Division.,,,,,"vii, 181 p. ;  28 cm.",Cover title.,"Under contract with: American Electric Power Service Corporation, Indiana and Michigan Electric Company.",,,,The University of Michigan Great Lakes Digital Library,,"Freshwater biology -- Michigan, Lake.",,,,,,,eng
"Entrainment of phytoplankton at the Donald C. Cook Nuclear Plant, 1976 / Ronald Rossman, Linda D. Damaske, Nancy M. Miller.",(dlps) 4742353.0001.001,http://name.umdl.umich.edu/4742353.0001.001,"Ann Arbor, Mich. :: Great Lakes Research Division, University of Michigan,","Ann Arbor, Michigan: University of Michigan Library",oai:quod.lib.umich.edu:4742353.0001.001,1979,text,"Rossman, Ronald.","Damaske, Linda D.","Miller, Nancy M.",University of Michigan. Great Lakes Research Division.,,,,,"xiii, 88 p. ;  28 cm. +",Cover title.,"Under contract with: American Electric Power Service Corporation, Indiana and Michigan Electric Company.",January 1979.,Includes bibliographical references (p. 87-88).,,The University of Michigan Great Lakes Digital Library,,"Nuclear power plants -- Environmental aspects -- Michigan, Lake.","Freshwater phytoplankton -- Michigan, Lake.",Donald C. Cook Nuclear Power Plant -- Environmental aspects.,,,,,eng
